make,fuel-type,aspiration,body-style,drive-wheels,engine-location,wheel-base,length,width,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,horsepower,city-mpg,highway-mpg,price
mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,1918,ohc,4,92,2bbl,2.97,68,37,41,5389.0
mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,1944,ohc,4,92,2bbl,2.97,68,31,38,6189.0
mitsubishi,gas,std,hatchback,fwd,front,93.7,157.3,64.4,2004,ohc,4,92,2bbl,2.97,68,31,38,6669.0
mitsubishi,gas,turbo,hatchback,fwd,front,93.0,157.3,63.8,2145,ohc,4,98,spdi,3.03,102,24,30,7689.0
mitsubishi,gas,turbo,hatchback,fwd,front,96.3,173.0,65.4,2370,ohc,4,110,spdi,3.17,116,23,30,9959.0
mitsubishi,gas,std,hatchback,fwd,front,96.3,173.0,65.4,2328,ohc,4,122,2bbl,3.35,88,25,32,8499.0
mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,2833,ohc,4,156,spdi,3.58,145,19,24,12629.0
mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,2921,ohc,4,156,spdi,3.59,145,19,24,14869.0
mitsubishi,gas,turbo,hatchback,fwd,front,95.9,173.2,66.3,2926,ohc,4,156,spdi,3.59,145,19,24,14489.0
mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,2365,ohc,4,122,2bbl,3.35,88,25,32,6989.0
mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,2405,ohc,4,122,2bbl,3.35,88,25,32,8189.0
mitsubishi,gas,turbo,sedan,fwd,front,96.3,172.4,65.4,2403,ohc,4,110,spdi,3.17,116,23,30,9279.0
mitsubishi,gas,std,sedan,fwd,front,96.3,172.4,65.4,2403,ohc,4,110,spdi,3.17,116,23,30,9279.0
nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,1889,ohc,4,97,2bbl,3.15,69,31,37,5499.0
nissan,diesel,std,sedan,fwd,front,94.5,165.3,63.8,2017,ohc,4,103,idi,2.99,55,45,50,7099.0
nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,1918,ohc,4,97,2bbl,3.15,69,31,37,6649.0
nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,1938,ohc,4,97,2bbl,3.15,69,31,37,6849.0
nissan,gas,std,wagon,fwd,front,94.5,170.2,63.8,2024,ohc,4,97,2bbl,3.15,69,31,37,7349.0
nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,1951,ohc,4,97,2bbl,3.15,69,31,37,7299.0
nissan,gas,std,hatchback,fwd,front,94.5,165.6,63.8,2028,ohc,4,97,2bbl,3.15,69,31,37,7799.0
nissan,gas,std,sedan,fwd,front,94.5,165.3,63.8,1971,ohc,4,97,2bbl,3.15,69,31,37,7499.0
nissan,gas,std,wagon,fwd,front,94.5,170.2,63.8,2037,ohc,4,97,2bbl,3.15,69,31,37,7999.0
nissan,gas,std,hardtop,fwd,front,95.1,162.4,63.8,2008,ohc,4,97,2bbl,3.15,69,31,37,8249.0
nissan,gas,std,hatchback,fwd,front,97.2,173.4,65.2,2324,ohc,4,120,2bbl,3.33,97,27,34,8949.0
nissan,gas,std,sedan,fwd,front,97.2,173.4,65.2,2302,ohc,4,120,2bbl,3.33,97,27,34,9549.0
nissan,gas,std,sedan,fwd,front,100.4,181.7,66.5,3095,ohcv,6,181,mpfi,3.43,152,17,22,13499.0
nissan,gas,std,wagon,fwd,front,100.4,184.6,66.5,3296,ohcv,6,181,mpfi,3.43,152,17,22,14399.0
nissan,gas,std,sedan,fwd,front,100.4,184.6,66.5,3060,ohcv,6,181,mpfi,3.43,152,19,25,13499.0
nissan,gas,std,hatchback,rwd,front,91.3,170.7,67.9,3071,ohcv,6,181,mpfi,3.43,160,19,25,17199.0
nissan,gas,turbo,hatchback,rwd,front,91.3,170.7,67.9,3139,ohcv,6,181,mpfi,3.43,200,17,23,19699.0
nissan,gas,std,hatchback,rwd,front,99.2,178.5,67.9,3139,ohcv,6,181,mpfi,3.43,160,19,25,18399.0
peugot,gas,std,sedan,rwd,front,107.9,186.7,68.4,3020,l,4,120,mpfi,3.46,97,19,24,11900.0
peugot,diesel,turbo,sedan,rwd,front,107.9,186.7,68.4,3197,l,4,152,idi,3.7,95,28,33,13200.0
peugot,gas,std,wagon,rwd,front,114.2,198.9,68.4,3230,l,4,120,mpfi,3.46,97,19,24,12440.0
peugot,diesel,turbo,wagon,rwd,front,114.2,198.9,68.4,3430,l,4,152,idi,3.7,95,25,25,13860.0
peugot,gas,std,sedan,rwd,front,107.9,186.7,68.4,3075,l,4,120,mpfi,3.46,95,19,24,15580.0
peugot,diesel,turbo,sedan,rwd,front,107.9,186.7,68.4,3252,l,4,152,idi,3.7,95,28,33,16900.0
peugot,gas,std,wagon,rwd,front,114.2,198.9,68.4,3285,l,4,120,mpfi,3.46,95,19,24,16695.0
peugot,diesel,turbo,wagon,rwd,front,114.2,198.9,68.4,3485,l,4,152,idi,3.7,95,25,25,17075.0
peugot,gas,std,sedan,rwd,front,107.9,186.7,68.4,3075,l,4,120,mpfi,3.46,97,19,24,16630.0
peugot,diesel,turbo,sedan,rwd,front,107.9,186.7,68.4,3252,l,4,152,idi,3.7,95,28,33,17950.0
peugot,gas,turbo,sedan,rwd,front,108.0,186.7,68.3,3130,l,4,134,mpfi,3.61,142,18,24,18150.0
plymouth,gas,std,hatchback,fwd,front,93.7,157.3,63.8,1918,ohc,4,90,2bbl,2.97,68,37,41,5572.0
plymouth,gas,turbo,hatchback,fwd,front,93.7,157.3,63.8,2128,ohc,4,98,spdi,3.03,102,24,30,7957.0
plymouth,gas,std,hatchback,fwd,front,93.7,157.3,63.8,1967,ohc,4,90,2bbl,2.97,68,31,38,6229.0
plymouth,gas,std,sedan,fwd,front,93.7,167.3,63.8,1989,ohc,4,90,2bbl,2.97,68,31,38,6692.0
plymouth,gas,std,sedan,fwd,front,93.7,167.3,63.8,2191,ohc,4,98,2bbl,2.97,68,31,38,7609.0
plymouth,gas,std,wagon,fwd,front,103.3,174.6,64.6,2535,ohc,4,122,2bbl,3.35,88,24,30,8921.0
plymouth,gas,turbo,hatchback,rwd,front,95.9,173.2,66.3,2818,ohc,4,156,spdi,3.59,145,19,24,12764.0
porsche,gas,std,hatchback,rwd,front,94.5,168.9,68.3,2778,ohc,4,151,mpfi,3.94,143,19,27,22018.0
porsche,gas,std,hardtop,rwd,rear,89.5,168.9,65.0,2756,ohcf,6,194,mpfi,3.74,207,17,25,29680.5
porsche,gas,std,hardtop,rwd,rear,89.5,168.9,65.0,2756,ohcf,6,194,mpfi,3.74,207,17,25,29680.5
porsche,gas,std,convertible,rwd,rear,89.5,168.9,65.0,2800,ohcf,6,194,mpfi,3.74,207,17,25,29680.5
saab,gas,std,hatchback,fwd,front,99.1,186.6,66.5,2658,ohc,4,121,mpfi,3.54,110,21,28,11850.0
saab,gas,std,sedan,fwd,front,99.1,186.6,66.5,2695,ohc,4,121,mpfi,3.54,110,21,28,12170.0
saab,gas,std,hatchback,fwd,front,99.1,186.6,66.5,2707,ohc,4,121,mpfi,2.54,110,21,28,15040.0
saab,gas,std,sedan,fwd,front,99.1,186.6,66.5,2758,ohc,4,121,mpfi,3.54,110,21,28,15510.0
saab,gas,turbo,hatchback,fwd,front,99.1,186.6,66.5,2808,dohc,4,121,mpfi,3.54,160,19,26,18150.0
saab,gas,turbo,sedan,fwd,front,99.1,186.6,66.5,2847,dohc,4,121,mpfi,3.54,160,19,26,18620.0
subaru,gas,std,hatchback,fwd,front,93.7,156.9,63.4,2050,ohcf,4,97,2bbl,3.62,69,31,36,5118.0
subaru,gas,std,hatchback,fwd,front,93.7,157.9,63.6,2120,ohcf,4,108,2bbl,3.62,73,26,31,7053.0
subaru,gas,std,hatchback,4wd,front,93.3,157.3,63.8,2240,ohcf,4,108,2bbl,3.62,73,26,31,7603.0
subaru,gas,std,sedan,fwd,front,97.2,172.0,65.4,2145,ohcf,4,108,2bbl,3.62,82,32,37,7126.0
subaru,gas,std,sedan,fwd,front,97.2,172.0,65.4,2190,ohcf,4,108,2bbl,3.62,82,28,33,7775.0
subaru,gas,std,sedan,fwd,front,97.2,172.0,65.4,2340,ohcf,4,108,mpfi,3.62,94,26,32,9960.0
subaru,gas,std,sedan,4wd,front,97.0,172.0,65.4,2385,ohcf,4,108,2bbl,3.62,82,24,25,9233.0
subaru,gas,turbo,sedan,4wd,front,97.0,172.0,65.4,2510,ohcf,4,108,mpfi,3.62,111,24,29,11259.0
subaru,gas,std,wagon,fwd,front,97.0,173.5,65.4,2290,ohcf,4,108,2bbl,3.62,82,28,32,7463.0
subaru,gas,std,wagon,fwd,front,97.0,173.5,65.4,2455,ohcf,4,108,mpfi,3.62,94,25,31,10198.0
subaru,gas,std,wagon,4wd,front,96.9,173.6,65.4,2420,ohcf,4,108,2bbl,3.62,82,23,29,8013.0
subaru,gas,turbo,wagon,4wd,front,96.9,173.6,65.4,2650,ohcf,4,108,mpfi,3.62,111,23,23,11694.0
toyota,gas,std,hatchback,fwd,front,95.7,158.7,63.6,1985,ohc,4,92,2bbl,3.05,62,35,39,5348.0
toyota,gas,std,hatchback,fwd,front,95.7,158.7,63.6,2040,ohc,4,92,2bbl,3.05,62,31,38,6338.0
toyota,gas,std,hatchback,fwd,front,95.7,158.7,63.6,2015,ohc,4,92,2bbl,3.05,62,31,38,6488.0
toyota,gas,std,wagon,fwd,front,95.7,169.7,63.6,2280,ohc,4,92,2bbl,3.05,62,31,37,6918.0
toyota,gas,std,wagon,4wd,front,95.7,169.7,63.6,2290,ohc,4,92,2bbl,3.05,62,27,32,7898.0
toyota,gas,std,wagon,4wd,front,95.7,169.7,63.6,3110,ohc,4,92,2bbl,3.05,62,27,32,8778.0
toyota,gas,std,sedan,fwd,front,95.7,166.3,64.4,2081,ohc,4,98,2bbl,3.19,70,30,37,6938.0
toyota,gas,std,hatchback,fwd,front,95.7,166.3,64.4,2109,ohc,4,98,2bbl,3.19,70,30,37,7198.0
toyota,diesel,std,sedan,fwd,front,95.7,166.3,64.4,2275,ohc,4,110,idi,3.27,56,34,36,7898.0
toyota,diesel,std,hatchback,fwd,front,95.7,166.3,64.4,2275,ohc,4,110,idi,3.27,56,38,47,7788.0
toyota,gas,std,sedan,fwd,front,95.7,166.3,64.4,2094,ohc,4,98,2bbl,3.19,70,38,47,7738.0
toyota,gas,std,hatchback,fwd,front,95.7,166.3,64.4,2122,ohc,4,98,2bbl,3.19,70,28,34,8358.0
toyota,gas,std,sedan,fwd,front,95.7,166.3,64.4,2140,ohc,4,98,2bbl,3.19,70,28,34,9258.0
toyota,gas,std,sedan,rwd,front,94.5,168.7,64.0,2169,ohc,4,98,2bbl,3.19,70,29,34,8058.0
toyota,gas,std,hatchback,rwd,front,94.5,168.7,64.0,2204,ohc,4,98,2bbl,3.19,70,29,34,8238.0
toyota,gas,std,sedan,rwd,front,94.5,168.7,64.0,2265,dohc,4,98,mpfi,3.24,112,26,29,9298.0
toyota,gas,std,hatchback,rwd,front,94.5,168.7,64.0,2300,dohc,4,98,mpfi,3.24,112,26,29,9538.0
toyota,gas,std,hardtop,rwd,front,98.4,176.2,65.6,2540,ohc,4,146,mpfi,3.62,116,24,30,8449.0
toyota,gas,std,hardtop,rwd,front,98.4,176.2,65.6,2536,ohc,4,146,mpfi,3.62,116,24,30,9639.0
toyota,gas,std,hatchback,rwd,front,98.4,176.2,65.6,2551,ohc,4,146,mpfi,3.62,116,24,30,9989.0
toyota,gas,std,hardtop,rwd,front,98.4,176.2,65.6,2679,ohc,4,146,mpfi,3.62,116,24,30,11199.0
toyota,gas,std,hatchback,rwd,front,98.4,176.2,65.6,2714,ohc,4,146,mpfi,3.62,116,24,30,11549.0
toyota,gas,std,convertible,rwd,front,98.4,176.2,65.6,2975,ohc,4,146,mpfi,3.62,116,24,30,17669.0
toyota,gas,std,sedan,fwd,front,102.4,175.6,66.5,2326,ohc,4,122,mpfi,3.31,92,29,34,8948.0
toyota,diesel,turbo,sedan,fwd,front,102.4,175.6,66.5,2480,ohc,4,110,idi,3.27,73,30,33,10698.0
toyota,gas,std,hatchback,fwd,front,102.4,175.6,66.5,2414,ohc,4,122,mpfi,3.31,92,27,32,9988.0
toyota,gas,std,sedan,fwd,front,102.4,175.6,66.5,2414,ohc,4,122,mpfi,3.31,92,27,32,10898.0
toyota,gas,std,hatchback,fwd,front,102.4,175.6,66.5,2458,ohc,4,122,mpfi,3.31,92,27,32,11248.0
toyota,gas,std,hatchback,rwd,front,102.9,183.5,67.7,2976,dohc,6,171,mpfi,3.27,161,20,24,16558.0
toyota,gas,std,hatchback,rwd,front,102.9,183.5,67.7,3016,dohc,6,171,mpfi,3.27,161,19,24,15998.0
toyota,gas,std,sedan,rwd,front,104.5,187.8,66.5,3131,dohc,6,171,mpfi,3.27,156,20,24,15690.0
toyota,gas,std,wagon,rwd,front,104.5,187.8,66.5,3151,dohc,6,161,mpfi,3.27,156,19,24,15750.0
volkswagen,diesel,std,sedan,fwd,front,97.3,171.7,65.5,2261,ohc,4,97,idi,3.01,52,37,46,7775.0
volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,2209,ohc,4,109,mpfi,3.19,85,27,34,7975.0
volkswagen,diesel,std,sedan,fwd,front,97.3,171.7,65.5,2264,ohc,4,97,idi,3.01,52,37,46,7995.0
volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,2212,ohc,4,109,mpfi,3.19,85,27,34,8195.0
volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,2275,ohc,4,109,mpfi,3.19,85,27,34,8495.0
volkswagen,diesel,turbo,sedan,fwd,front,97.3,171.7,65.5,2319,ohc,4,97,idi,3.01,68,37,42,9495.0
volkswagen,gas,std,sedan,fwd,front,97.3,171.7,65.5,2300,ohc,4,109,mpfi,3.19,100,26,32,9995.0
volkswagen,gas,std,convertible,fwd,front,94.5,159.3,64.2,2254,ohc,4,109,mpfi,3.19,90,24,29,11595.0
volkswagen,gas,std,hatchback,fwd,front,94.5,165.7,64.0,2221,ohc,4,109,mpfi,3.19,90,24,29,9980.0
volkswagen,gas,std,sedan,fwd,front,100.4,180.2,66.9,2661,ohc,5,136,mpfi,3.19,110,19,24,13295.0
volkswagen,diesel,turbo,sedan,fwd,front,100.4,180.2,66.9,2579,ohc,4,97,idi,3.01,68,33,38,13845.0
volkswagen,gas,std,wagon,fwd,front,100.4,183.1,66.9,2563,ohc,4,109,mpfi,3.19,88,25,31,12290.0
volvo,gas,std,sedan,rwd,front,104.3,188.8,67.2,2912,ohc,4,141,mpfi,3.78,114,23,28,12940.0
volvo,gas,std,wagon,rwd,front,104.3,188.8,67.2,3034,ohc,4,141,mpfi,3.78,114,23,28,13415.0
volvo,gas,std,sedan,rwd,front,104.3,188.8,67.2,2935,ohc,4,141,mpfi,3.78,114,24,28,15985.0
volvo,gas,std,wagon,rwd,front,104.3,188.8,67.2,3042,ohc,4,141,mpfi,3.78,114,24,28,16515.0
volvo,gas,turbo,sedan,rwd,front,104.3,188.8,67.2,3045,ohc,4,130,mpfi,3.62,162,17,22,18420.0
volvo,gas,turbo,wagon,rwd,front,104.3,188.8,67.2,3157,ohc,4,130,mpfi,3.62,162,17,22,18950.0
volvo,gas,std,sedan,rwd,front,109.1,188.8,68.9,2952,ohc,4,141,mpfi,3.78,114,23,28,16845.0
volvo,gas,turbo,sedan,rwd,front,109.1,188.8,68.8,3049,ohc,4,141,mpfi,3.78,160,19,25,19045.0
volvo,gas,std,sedan,rwd,front,109.1,188.8,68.9,3012,ohcv,6,173,mpfi,3.58,134,18,23,21485.0
volvo,diesel,turbo,sedan,rwd,front,109.1,188.8,68.9,3217,ohc,6,145,idi,3.01,106,26,27,22470.0
volvo,gas,turbo,sedan,rwd,front,109.1,188.8,68.9,3062,ohc,4,141,mpfi,3.78,114,19,25,22625.0
